Date,Output Gap,RRP,CPI
1/1/00,-0.012706659,8.75,5.666666667
4/1/00,0.019659487,9.391304348,6.266666667
7/1/00,-0.005165174,10.23809524,6.6
10/1/00,0.087781882,14.0974026,7.8
1/1/01,-0.039027093,11.50286561,5.8
4/1/01,0.001353054,9.371980676,5.633333333
7/1/01,-0.02403558,9,5.8
10/1/01,0.070006304,8.369471109,4.366666667
1/1/02,-0.049681842,7.378450656,3.166666667
4/1/02,-0.011717727,7,3.066666667
7/1/02,-0.045942139,7,2.566666667
10/1/02,0.06506989,7,2.166666667
1/1/03,-0.053799077,7,2.1
4/1/03,-0.018434278,7,2.4
7/1/03,-0.042432741,6.753623188,2.233333333
10/1/03,0.070850018,6.75,2.4
1/1/04,-0.035952461,6.75,2.966666667
4/1/04,0.002850011,6.75,3.633333333
7/1/04,-0.033051892,6.75,5.8
10/1/04,0.073712694,6.75,6.733333333
1/1/05,-0.03778067,6.75,7.233333333
4/1/05,0.007132772,6.984126984,7.066666667
7/1/05,-0.040508604,7.026515152,6.033333333
10/1/05,0.069184034,7.448412698,6.1
1/1/06,-0.043624812,7.5,6.333333333
4/1/06,0.014899182,7.5,6.066666667
7/1/06,-0.043876112,7.5,5.2
10/1/06,0.079180183,7.5,4.333333333
1/1/07,-0.032878539,7.5,3.1
4/1/07,0.033347571,7.5,2.633333333
7/1/07,-0.028704195,6.204545455,2.833333333
10/1/07,0.096395361,5.611714976,3.233333333
1/1/08,-0.038518817,5.079710145,5.2
4/1/08,0.033684959,5.071428571,8.3
7/1/08,-0.02195784,5.75431332,10.26666667
10/1/08,0.080182705,5.927536232,8.866666667
1/1/09,-0.071365077,5.079545455,6.966666667
4/1/09,0.005801076,4.450396825,4.366666667
7/1/09,-0.057745881,4.02173913,2.066666667
10/1/09,0.048840571,4,3.6
1/1/10,-0.042908878,4,3.9
4/1/10,0.034332496,4,3.833333333
7/1/10,-0.040039694,4,3.866666667
10/1/10,0.059822498,4,3.5
1/1/11,-0.047258016,4.02173913,4.533333333
4/1/11,0.016096737,4.40530303,4.933333333
7/1/11,-0.062795156,4.5,4.733333333
10/1/11,0.043521249,4.5,4.7
1/1/12,-0.044952762,4.215909091,3.333333333
4/1/12,0.019104245,4,2.933333333
7/1/12,-0.050620453,3.818181818,3.466666667
10/1/12,0.060369379,3.565217391,2.966666667
1/1/13,-0.032681888,3.5,2.8
4/1/13,0.030579182,3.5,2.333333333
7/1/13,-0.047789587,3.5,2.166666667
10/1/13,0.049341766,3.5,3.033333333
1/1/14,-0.040106815,3.5,3.6
4/1/14,0.03416084,3.5,3.8
7/1/14,-0.053795062,3.723320158,4.1
10/1/14,0.050199535,4,2.866666667
1/1/15,-0.052844381,4,1.5
4/1/15,0.031428179,4,0.966666667
7/1/15,-0.054676265,4,-0.066666667
10/1/15,0.053772749,4,0.266666667
1/1/16,-0.050600249,4,0.6
4/1/16,0.039188968,3.696969697,0.966666667
7/1/16,-0.048163945,3,1.433333333
10/1/16,0.057453662,3,2.033333333
1/1/17,-0.051490006,3,2.9
4/1/17,0.046825925,3,2.866666667
7/1/17,-0.037184379,3,2.666666667
10/1/17,0.061793066,3,3
1/1/18,-0.048293154,3,3.833333333
4/1/18,0.050746462,3.169082125,4.766666667
7/1/18,-0.034604754,3.790942029,6.266666667
10/1/18,0.068257006,4.625,5.933333333
1/1/19,-0.047170232,4.75,3.833333333
4/1/19,0.049669676,4.607526882,2.966666667
7/1/19,-0.025828107,4.343727599,1.666666667
10/1/19,0.08232381,4,1.533333333
1/1/20,-0.095348178,3.900862069,2.75